device,ubicacion,timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
OLT Santiago Centro 1,"8.098036036618808, -80.97983146771568",2025-08-26T09:54:29.935704,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,11.38,44.382,107.922856,83752780,131874699,,,,,Telca,200.229.12.29,6a49b24d-ae8c-4002-9bca-8b82da3ac993,https://www.speedtest.net/result/c/6a49b24d-ae8c-4002-9bca-8b82da3ac993,official
OLT Santiago Centro 1,"8.098036036618808, -80.97983146771568",2025-08-26T09:55:04.400764,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",57.737,20.402048,106.383816,31383112,123459534,,,,,Telca,200.229.12.29,0ed891ae-04cd-41f1-a41b-cec3f60b8128,https://www.speedtest.net/result/c/0ed891ae-04cd-41f1-a41b-cec3f60b8128,official
OLT Santiago Centro 1,"8.098036036618808, -80.97983146771568",2025-08-26T10:00:37.575723,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,11.224,39.602952,108.006864,60806368,137997254,,,,,Telca,200.229.12.29,090e875a-a464-474e-b16d-c992a7c86338,https://www.speedtest.net/result/c/090e875a-a464-474e-b16d-c992a7c86338,official
OLT Santiago Centro 1,"8.098036036618808, -80.97983146771568",2025-08-26T10:01:08.585635,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",57.646,28.106416,108.489496,36216388,113132270,,,,,Telca,200.229.12.29,063c5e5f-8572-459f-a2b9-6937015a01f2,https://www.speedtest.net/result/c/063c5e5f-8572-459f-a2b9-6937015a01f2,official
OLT Santiago Centro 1,"8.098036036618808, -80.97983146771568",2025-08-26T10:06:44.702716,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,11.249,44.329096,108.12604,77453848,136387385,,,,,Telca,200.229.12.29,6992bfe3-f8f9-4e27-9252-2ebeef5238cb,https://www.speedtest.net/result/c/6992bfe3-f8f9-4e27-9252-2ebeef5238cb,official
OLT Santiago Centro 1,"8.098036036618808, -80.97983146771568",2025-08-26T10:07:16.773947,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",56.18,25.220624,109.618712,30195620,131537899,,,,,Telca,200.229.12.29,bcfd87b2-8273-43ab-a283-d1ef8719f307,https://www.speedtest.net/result/c/bcfd87b2-8273-43ab-a283-d1ef8719f307,official
OLT Santiago Centro 1,"8.098036036618808, -80.97983146771568",2025-08-26T10:12:52.866436,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,11.3,45.833064,108.267432,76369432,136479797,,,,,Telca,200.229.12.29,0a86211b-2209-4311-9465-dc755a8f3764,https://www.speedtest.net/result/c/0a86211b-2209-4311-9465-dc755a8f3764,official
OLT Santiago Centro 1,"8.098036036618808, -80.97983146771568",2025-08-26T10:13:23.486847,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",55.959,23.296688,106.731632,28100212,115714406,,,,,Telca,200.229.12.29,6a963ff6-bbde-4a64-8b63-028f3531291c,https://www.speedtest.net/result/c/6a963ff6-bbde-4a64-8b63-028f3531291c,official
OLT Santiago Centro 1,"8.098036036618808, -80.97983146771568",2025-08-26T10:18:55.728848,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,11.247,47.495872,108.269528,69413920,138003605,,,,,Telca,200.229.12.29,e621a514-a690-4b26-8e0b-4bb675457c29,https://www.speedtest.net/result/c/e621a514-a690-4b26-8e0b-4bb675457c29,official
OLT Santiago Centro 1,"8.098036036618808, -80.97983146771568",2025-08-26T10:19:31.004256,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",57.769,28.849024,107.993024,44184304,125408517,,,,,Telca,200.229.12.29,ee645798-d471-434d-8c83-e12a50369736,https://www.speedtest.net/result/c/ee645798-d471-434d-8c83-e12a50369736,official
